Unit_Type,Unit_Name,Time (seconds),Weight (default =1)
UnitInitEvent,SupplyDepot,16,1
UnitInitEvent,Barracks,39,1
UnitInitEvent,Refinery,44,1
UnitBornEvent,Reaper,88,1
UnitInitEvent,SupplyDepot,110,1
UnitBornEvent,Marine,120,1
UnitInitEvent,Factory,133,1
UnitInitEvent,Refinery,137,1
UnitInitEvent,BarracksReactor,142,1
UnitInitEvent,Starport,185,1
UnitBornEvent,Hellion,192,1
UnitBornEvent,Hellion,192,1
UnitInitEvent,BarracksTechLab,194,1
UnitBornEvent,Hellion,214,1
UnitBornEvent,Hellion,214,1
UnitInitEvent,SupplyDepot,225,1
UnitBornEvent,Viking,227,1
UnitInitEvent,FusionCore,228,1
UnitBornEvent,Hellion,235,1
UnitBornEvent,Hellion,235,1
UnitInitEvent,SupplyDepot,247,1
UnitInitEvent,SupplyDepot,247,1
UnitBornEvent,Hellion,259,1
UnitBornEvent,Hellion,259,1
UnitBornEvent,Battlecruiser,279,1
UnitInitEvent,CommandCenter,292,1
UnitInitEvent,Armory,300,1
UnitBornEvent,Hellion,300,1
UnitBornEvent,Hellion,307,1
UnitInitEvent,Refinery,309,1
UnitInitEvent,Refinery,309,1
UnitBornEvent,Battlecruiser,347,1
UnitInitEvent,Factory,377,1
UnitInitEvent,Factory,377,1
UnitInitEvent,Armory,381,1
UpgradeCompleteEvent,TerranVehicleWeaponsLevel1,396,1
UnitInitEvent,Factory,403,1
UnitInitEvent,Factory,403,1
UnitInitEvent,Refinery,408,1
UnitInitEvent,Refinery,408,1
