Unit_Type,Unit_Name,Time (seconds),Weight (default =1)
UnitInitEvent,Pylon,18,1
UnitInitEvent,Gateway,36,1
UnitInitEvent,Assimilator,46,1
UnitInitEvent,Nexus,84,1
UnitInitEvent,CyberneticsCore,92,1
UnitInitEvent,Assimilator,103,1
UnitInitEvent,Pylon,112,1
UnitBornEvent,Adept,128,1
UnitInitEvent,Stargate,142,1
UnitBornEvent,Adept,151,1
UpgradeCompleteEvent,WarpGateResearch,155,1
UnitInitEvent,Pylon,175,1
UnitBornEvent,Adept,181,1
UnitBornEvent,Phoenix,186,1
UnitInitEvent,Assimilator,196,1
UnitInitEvent,Assimilator,198,1
UnitBornEvent,Phoenix,203,1
UnitInitEvent,ShieldBattery,207,1
UnitInitEvent,RoboticsFacility,218,1
UnitInitEvent,Gateway,225,1
UnitBornEvent,Phoenix,233,1
UnitInitEvent,Pylon,242,1
UnitInitEvent,Pylon,258,1
UnitInitEvent,Nexus,266,1
UnitBornEvent,Observer,269,1
UnitBornEvent,Phoenix,272,1
UnitInitEvent,TwilightCouncil,282,1
UnitInitEvent,RoboticsBay,286,1
UnitBornEvent,Immortal,295,1
UnitInitEvent,Forge,307,1
UnitInitEvent,Pylon,309,1
UpgradeCompleteEvent,Charge,321,1
UnitInitEvent,Pylon,330,1
UnitBornEvent,Colossus,332,1
UpgradeCompleteEvent,ExtendedThermalLance,336,1
UpgradeCompleteEvent,ProtossGroundArmorsLevel1,339,1
UnitInitEvent,Gateway,357,1
UnitInitEvent,Gateway,357,1
UnitInitEvent,Gateway,357,1
UnitBornEvent,Sentry,369,1
UnitBornEvent,Zealot,370,1
UnitBornEvent,Colossus,371,1
