Unit_Type,Unit_Name,Time (seconds),Weight (default =1)
UnitBornEvent,Overlord,12,1
UnitInitEvent,Hatchery,48,1
UnitBornEvent,Extractor,70,1
UnitInitEvent,SpawningPool,73,1
UnitBornEvent,Queen,120,1
UnitBornEvent,Queen,120,1
UnitBornEvent,Zergling,121,1
UnitBornEvent,Zergling,121,1
UnitBornEvent,Zergling,121,1
UnitBornEvent,Zergling,121,1
UpgradeCompleteEvent,zerglingmovementspeed,131,1
UnitBornEvent,Overlord,132,1
UnitInitEvent,Hatchery,152,1
UnitBornEvent,Queen,166,1
UnitBornEvent,Overlord,172,1
UnitBornEvent,Overlord,186,1
UnitBornEvent,Queen,192,1
UnitBornEvent,Queen,207,1
UnitBornEvent,Overlord,219,1
UnitBornEvent,Queen,227,1
UnitBornEvent,Zergling,237,1
UnitBornEvent,Zergling,237,1
UnitBornEvent,Zergling,237,1
UnitBornEvent,Zergling,237,1
UnitBornEvent,Zergling,237,1
UnitBornEvent,Zergling,237,1
UnitBornEvent,Zergling,237,1
UnitBornEvent,Zergling,237,1
UnitBornEvent,Queen,246,1
UnitBornEvent,Zergling,251,1
UnitBornEvent,Zergling,251,1
UnitBornEvent,Zergling,251,1
UnitBornEvent,Zergling,251,1
UnitBornEvent,Queen,276,1
UnitBornEvent,Queen,287,1
UnitInitEvent,Hatchery,294,1
UnitInitEvent,SporeCrawler,299,1
UnitInitEvent,SporeCrawler,299,1
UnitInitEvent,SporeCrawler,299,1
UnitBornEvent,Zergling,303,1
UnitBornEvent,Zergling,303,1
UnitBornEvent,Zergling,303,1
UnitBornEvent,Zergling,303,1
UnitInitEvent,BanelingNest,309,1
UnitBornEvent,Extractor,309,1
UnitBornEvent,Extractor,334,1
UnitBornEvent,Extractor,334,1
UnitBornEvent,Extractor,342,1
UnitInitEvent,EvolutionChamber,344,1
UpgradeCompleteEvent,CentrificalHooks,348,1
UnitInitEvent,EvolutionChamber,362,1
UnitBornEvent,Queen,366,1
UpgradeCompleteEvent,ZergGroundArmorsLevel1,378,1
UnitInitEvent,SporeCrawler,388,1
UpgradeCompleteEvent,ZergMeleeWeaponsLevel1,391,1
UpgradeCompleteEvent,overlordspeed,411,1
UnitInitEvent,HydraliskDen,429,1
UpgradeCompleteEvent,EvolveGroovedSpines,438,1
UnitInitEvent,Hatchery,484,1
UnitBornEvent,Extractor,490,1
UpgradeCompleteEvent,EvolveMuscularAugments,502,1
UpgradeCompleteEvent,ZergMeleeWeaponsLevel2,536,1
UnitBornEvent,Hydralisk,549,1
UnitBornEvent,Hydralisk,549,1
UnitBornEvent,Hydralisk,549,1
UnitBornEvent,Hydralisk,549,1
UnitBornEvent,Hydralisk,549,1
UnitBornEvent,Hydralisk,549,1
UnitBornEvent,Hydralisk,573,1
UnitBornEvent,Hydralisk,580,1
UnitBornEvent,Hydralisk,580,1
UnitBornEvent,Hydralisk,580,1
