Unit_Type,Unit_Name,Time (seconds),Weight (default =1)
UnitBornEvent,Overlord,12,1
UnitBornEvent,Extractor,44,1
UnitInitEvent,SpawningPool,50,1
UnitInitEvent,Hatchery,78,1
UnitBornEvent,Queen,96,1
UnitBornEvent,Zergling,97,1
UnitBornEvent,Zergling,97,1
UpgradeCompleteEvent,zerglingmovementspeed,105,1
UnitBornEvent,Overlord,112,1
UnitBornEvent,Queen,132,1
UnitBornEvent,Queen,149,1
UpgradeCompleteEvent,overlordspeed,169,1
UnitBornEvent,Overlord,174,1
UnitInitEvent,Hatchery,188,1
UnitBornEvent,Overlord,205,1
UnitBornEvent,Zergling,209,1
UnitBornEvent,Queen,213,1
UnitBornEvent,Overlord,223,1
UnitBornEvent,Zergling,228,1
UnitBornEvent,Zergling,228,1
UnitBornEvent,Zergling,243,1
UnitBornEvent,Queen,250,1
UnitBornEvent,Zergling,252,1
UnitBornEvent,Zergling,252,1
UnitInitEvent,BanelingNest,258,1
UnitBornEvent,Queen,261,1
UnitBornEvent,Zergling,274,1
UnitBornEvent,Extractor,299,1
UnitBornEvent,Extractor,299,1
UnitInitEvent,EvolutionChamber,314,1
UnitInitEvent,EvolutionChamber,314,1
UnitBornEvent,Queen,321,1
UnitBornEvent,Extractor,337,1
UpgradeCompleteEvent,CentrificalHooks,339,1
UpgradeCompleteEvent,ZergGroundArmorsLevel1,350,1
UnitInitEvent,Hatchery,371,1
UnitInitEvent,InfestationPit,388,1
