Unit_Type,Unit_Name,Time (seconds),Weight (default =1)
UnitBornEvent,Extractor,15,1
UnitInitEvent,Hatchery,36,1
UnitBornEvent,Extractor,41,1
UnitBornEvent,Overlord,48,1
UnitInitEvent,SpawningPool,68,1
UnitBornEvent,Extractor,88,1
UnitBornEvent,Queen,109,1
UnitBornEvent,Queen,109,1
UnitBornEvent,Zergling,110,1
UnitBornEvent,Zergling,110,1
UnitBornEvent,Overlord,119,1
UnitBornEvent,Queen,144,1
UnitBornEvent,Queen,144,1
UnitBornEvent,Overlord,155,1
UnitBornEvent,Overlord,163,1
UnitInitEvent,RoachWarren,196,1
UnitBornEvent,Extractor,199,1
UnitBornEvent,Extractor,199,1
UnitBornEvent,Overlord,216,1
UnitInitEvent,Hatchery,227,1
UpgradeCompleteEvent,overlordspeed,231,1
UnitBornEvent,Roach,236,1
UnitBornEvent,Roach,236,1
UnitBornEvent,Roach,244,1
UnitBornEvent,Roach,244,1
UnitBornEvent,Roach,251,1
UnitBornEvent,Roach,251,1
UnitBornEvent,Roach,257,1
UnitBornEvent,Roach,257,1
UnitBornEvent,Roach,268,1
UnitBornEvent,Roach,298,1
UnitBornEvent,Queen,306,1
UnitBornEvent,Extractor,365,1
UnitBornEvent,Extractor,365,1
UnitBornEvent,Extractor,365,1
UnitInitEvent,EvolutionChamber,365,1
UnitInitEvent,EvolutionChamber,365,1
UpgradeCompleteEvent,zerglingmovementspeed,388,1
UpgradeCompleteEvent,GlialReconstitution,389,1
UpgradeCompleteEvent,ZergMissileWeaponsLevel1,400,1
UpgradeCompleteEvent,ZergGroundArmorsLevel1,405,1
UnitBornEvent,Queen,407,1
UnitBornEvent,Queen,407,1
UnitInitEvent,Hatchery,409,1
UnitInitEvent,InfestationPit,432,1
UnitInitEvent,BanelingNest,456,1
UnitBornEvent,Extractor,465,1
UnitBornEvent,Zergling,480,1
UnitBornEvent,Zergling,480,1
UnitBornEvent,Zergling,480,1
UnitBornEvent,Zergling,480,1
UnitBornEvent,Zergling,480,1
UnitBornEvent,Zergling,480,1
UnitBornEvent,Zergling,485,1
UnitBornEvent,Zergling,485,1
UnitBornEvent,Zergling,485,1
UnitBornEvent,Zergling,485,1
UnitBornEvent,Zergling,485,1
UnitBornEvent,Zergling,485,1
UnitBornEvent,Zergling,485,1
UnitBornEvent,Zergling,485,1
UnitBornEvent,Zergling,485,1
UnitBornEvent,Zergling,485,1
UnitBornEvent,Queen,486,1
UnitBornEvent,Zergling,492,1
UnitBornEvent,Zergling,492,1
UpgradeCompleteEvent,CentrificalHooks,498,1
UnitInitEvent,Hatchery,515,1
