Unit_Type,Unit_Name,Time (seconds),Weight (default =1)
UnitInitEvent,Pylon,19,1
UnitInitEvent,Gateway,44,1
UnitInitEvent,Assimilator,49,1
UnitInitEvent,Nexus,84,1
UnitInitEvent,CyberneticsCore,93,1
UnitInitEvent,Assimilator,101,1
UnitInitEvent,Pylon,111,1
UnitBornEvent,Adept,127,1
UpgradeCompleteEvent,WarpGateResearch,130,1
UnitInitEvent,Stargate,144,1
UnitBornEvent,Stalker,152,1
UnitInitEvent,ShieldBattery,165,1
UnitBornEvent,VoidRay,191,1
UnitInitEvent,Pylon,195,1
UnitInitEvent,Assimilator,205,1
UnitInitEvent,Assimilator,205,1
UnitInitEvent,Stargate,218,1
UnitInitEvent,Pylon,225,1
UnitInitEvent,FleetBeacon,239,1
UnitInitEvent,Pylon,249,1
UnitInitEvent,Forge,250,1
UnitBornEvent,Carrier,282,1
UnitInitEvent,PhotonCannon,285,1
UnitInitEvent,PhotonCannon,285,1
UnitBornEvent,Carrier,288,1
UnitInitEvent,Nexus,310,1
UnitBornEvent,Carrier,330,1
UnitInitEvent,ShieldBattery,335,1
UnitInitEvent,PhotonCannon,340,1
UnitBornEvent,Carrier,345,1
UpgradeCompleteEvent,ProtossAirWeaponsLevel1,356,1
