Unit_Type,Unit_Name,Time (seconds),Weight (default =1)
UnitInitEvent,SupplyDepot,16,1
UnitInitEvent,Barracks,39,1
UnitInitEvent,Refinery,42,1
UnitBornEvent,Reaper,86,1
UnitInitEvent,CommandCenter,100,1
UnitInitEvent,SupplyDepot,109,1
UnitBornEvent,Marine,118,1
UnitInitEvent,Factory,129,1
UnitInitEvent,BarracksReactor,139,1
UnitInitEvent,CommandCenter,161,1
UnitInitEvent,Starport,182,1
UnitInitEvent,Refinery,188,1
UnitBornEvent,Hellion,194,1
UnitBornEvent,Hellion,194,1
UnitInitEvent,BarracksTechLab,212,1
UnitBornEvent,Hellion,216,1
UnitBornEvent,Hellion,216,1
UnitBornEvent,Banshee,235,1
UpgradeCompleteEvent,BansheeCloak,238,1
UnitInitEvent,SupplyDepot,244,1
UnitBornEvent,Hellion,248,1
UnitBornEvent,Hellion,248,1
UnitInitEvent,BarracksTechLab,254,1
UnitInitEvent,SupplyDepot,266,1
UnitBornEvent,Hellion,270,1
UnitBornEvent,Hellion,270,1
UpgradeCompleteEvent,Stimpack,277,1
UnitBornEvent,Banshee,278,1
UnitInitEvent,Refinery,288,1
UnitInitEvent,SupplyDepot,297,1
UnitInitEvent,Barracks,297,1
UnitInitEvent,Barracks,297,1
UnitInitEvent,FactoryReactor,300,1
UnitInitEvent,Refinery,305,1
UnitInitEvent,EngineeringBay,314,1
UnitInitEvent,EngineeringBay,314,1
UnitInitEvent,StarportReactor,335,1
UpgradeCompleteEvent,TerranVehicleWeaponsLevel1,342,1
UnitInitEvent,Barracks,343,1
UnitInitEvent,Barracks,343,1
UpgradeCompleteEvent,TerranInfantryArmorsLevel1,345,1
UnitBornEvent,SiegeTank,356,1
UnitBornEvent,Medivac,375,1
UnitBornEvent,Medivac,375,1
UpgradeCompleteEvent,ShieldWall,377,1
UnitInitEvent,BarracksReactor,392,1
UnitInitEvent,BarracksReactor,397,1
UnitInitEvent,Refinery,398,1
UnitInitEvent,Refinery,398,1
UnitBornEvent,Medivac,405,1
UnitBornEvent,Medivac,405,1
