Unit_Type,Unit_Name,Time (seconds),Weight (default =1)
UnitInitEvent,SupplyDepot,17,1
UnitInitEvent,Barracks,39,1
UnitInitEvent,Refinery,43,1
UnitBornEvent,Marine,87,1
UnitInitEvent,CommandCenter,102,1
UnitInitEvent,BarracksReactor,105,1
UnitInitEvent,SupplyDepot,117,1
UnitInitEvent,Barracks,140,1
UnitInitEvent,Barracks,140,1
UnitBornEvent,Marine,144,1
UnitBornEvent,Marine,144,1
UnitBornEvent,Marine,162,1
UnitBornEvent,Marine,162,1
UnitBornEvent,Marine,180,1
UnitBornEvent,Marine,180,1
UnitInitEvent,BarracksTechLab,191,1
UnitInitEvent,BarracksTechLab,191,1
UnitInitEvent,SupplyDepot,201,1
UnitBornEvent,Marine,205,1
UpgradeCompleteEvent,Stimpack,210,1
UpgradeCompleteEvent,PunisherGrenades,210,1
UnitBornEvent,Marine,212,1
UnitBornEvent,Marine,212,1
UnitInitEvent,SupplyDepot,226,1
UnitInitEvent,Refinery,226,1
UnitBornEvent,Marauder,230,1
UnitBornEvent,Marauder,230,1
UnitInitEvent,EngineeringBay,242,1
UnitInitEvent,SupplyDepot,245,1
UpgradeCompleteEvent,ShieldWall,253,1
UnitInitEvent,Factory,283,1
UnitInitEvent,MissileTurret,289,1
UpgradeCompleteEvent,TerranInfantryWeaponsLevel1,293,1
UnitInitEvent,CommandCenter,298,1
UnitInitEvent,Refinery,325,1
UnitInitEvent,Refinery,325,1
UnitInitEvent,Starport,328,1
UnitInitEvent,FactoryReactor,328,1
UnitBornEvent,Marauder,341,1
UnitBornEvent,Marauder,341,1
UnitInitEvent,Barracks,347,1
UnitInitEvent,Barracks,347,1
UnitBornEvent,Marauder,364,1
UnitBornEvent,Marauder,364,1
UnitBornEvent,Medivac,375,1
UnitBornEvent,Medivac,375,1
UnitInitEvent,FactoryReactor,382,1
UnitBornEvent,Marauder,388,1
UnitBornEvent,Marauder,388,1
