Unit_Type,Unit_Name,Time (seconds),Weight (default =1)
UnitInitEvent,SupplyDepot,16,1
UnitInitEvent,Barracks,39,1
UnitInitEvent,Refinery,43,1
UnitInitEvent,Refinery,52,1
UnitBornEvent,Reaper,86,1
UnitInitEvent,SupplyDepot,88,1
UnitInitEvent,Factory,100,1
UnitBornEvent,Reaper,118,1
UnitBornEvent,Cyclone,143,1
UnitInitEvent,CommandCenter,149,1
UnitInitEvent,Starport,156,1
UnitInitEvent,BarracksTechLab,162,1
UnitInitEvent,FactoryTechLab,175,1
UnitInitEvent,SupplyDepot,185,1
UnitInitEvent,Refinery,197,1
UnitBornEvent,SiegeTank,206,1
UnitInitEvent,Refinery,249,1
UnitInitEvent,SupplyDepot,254,1
UnitBornEvent,Raven,257,1
UnitBornEvent,SiegeTank,273,1
UnitInitEvent,EngineeringBay,282,1
UnitInitEvent,BarracksReactor,288,1
UnitBornEvent,Raven,291,1
UnitInitEvent,SupplyDepot,295,1
UnitBornEvent,SiegeTank,305,1
UnitInitEvent,MissileTurret,310,1
UnitInitEvent,MissileTurret,322,1
UnitInitEvent,MissileTurret,331,1
UnitBornEvent,Viking,334,1
UnitBornEvent,SiegeTank,352,1
UnitBornEvent,Viking,352,1
UnitInitEvent,Refinery,364,1
UnitInitEvent,Refinery,364,1
UnitInitEvent,Factory,378,1
UnitInitEvent,Factory,378,1
UnitBornEvent,Viking,379,1
UnitBornEvent,Viking,379,1
UnitBornEvent,SiegeTank,384,1
UnitInitEvent,Armory,405,1
UnitInitEvent,Armory,405,1
