Unit_Type,Unit_Name,Time (seconds),Weight (default =1)
UnitInitEvent,Pylon,20,1
UnitInitEvent,Gateway,39,1
UnitInitEvent,Assimilator,50,1
UnitInitEvent,Nexus,87,1
UnitInitEvent,CyberneticsCore,97,1
UnitInitEvent,Assimilator,105,1
UnitInitEvent,Pylon,110,1
UpgradeCompleteEvent,WarpGateResearch,135,1
UnitBornEvent,Stalker,135,1
UnitBornEvent,Stalker,156,1
UnitInitEvent,RoboticsFacility,165,1
UnitBornEvent,Stalker,177,1
UnitInitEvent,Gateway,180,1
UnitInitEvent,Gateway,180,1
UnitInitEvent,Pylon,185,1
UnitBornEvent,Observer,216,1
UnitBornEvent,Immortal,232,1
UnitInitEvent,Assimilator,235,1
UnitInitEvent,Assimilator,235,1
UnitBornEvent,Stalker,245,1
UnitBornEvent,Stalker,245,1
UnitBornEvent,Stalker,245,1
UnitInitEvent,RoboticsFacility,270,1
UnitInitEvent,RoboticsBay,270,1
UnitInitEvent,Forge,302,1
UnitInitEvent,TwilightCouncil,302,1
UnitBornEvent,Colossus,325,1
UnitBornEvent,Colossus,325,1
UpgradeCompleteEvent,ExtendedThermalLance,337,1
UpgradeCompleteEvent,ProtossGroundWeaponsLevel1,348,1
UnitInitEvent,Gateway,358,1
UnitInitEvent,Gateway,358,1
UnitInitEvent,Gateway,358,1
UnitInitEvent,Gateway,358,1
UnitInitEvent,Gateway,358,1
UpgradeCompleteEvent,Charge,370,1
UnitInitEvent,TemplarArchive,385,1
UnitBornEvent,WarpPrism,394,1
