Unit_Type,Unit_Name,Time (seconds),Weight (default =1)
UnitBornEvent,Overlord,12,1
UnitInitEvent,Hatchery,48,1
UnitBornEvent,Extractor,48,1
UnitInitEvent,SpawningPool,70,1
UnitBornEvent,Queen,74,1
UnitBornEvent,Queen,113,1
UnitBornEvent,Zergling,122,1
UnitBornEvent,Zergling,122,1
UnitBornEvent,Zergling,122,1
UnitBornEvent,Zergling,122,1
UnitBornEvent,Overlord,163,1
UnitBornEvent,Extractor,194,1
UnitBornEvent,Extractor,194,1
UnitInitEvent,SporeCrawler,196,1
UnitInitEvent,RoachWarren,198,1
UnitInitEvent,SporeCrawler,206,1
UnitBornEvent,Overlord,234,1
UnitInitEvent,Hatchery,235,1
UpgradeCompleteEvent,GlialReconstitution,240,1
UnitBornEvent,Roach,255,1
UnitBornEvent,Roach,255,1
UnitBornEvent,Roach,255,1
UnitBornEvent,Roach,255,1
UnitBornEvent,Roach,255,1
UnitBornEvent,Roach,255,1
UnitBornEvent,Roach,255,1
UnitBornEvent,Roach,261,1
UnitBornEvent,Roach,286,1
UnitBornEvent,Roach,286,1
