Unit_Type,Unit_Name,Time (seconds),Weight (default =1)
UnitInitEvent,Pylon,20,1
UnitInitEvent,Gateway,40,1
UnitInitEvent,Assimilator,45,1
UnitInitEvent,Nexus,87,1
UnitInitEvent,CyberneticsCore,97,1
UnitInitEvent,Assimilator,102,1
UnitInitEvent,Pylon,115,1
UnitBornEvent,Adept,131,1
UnitInitEvent,Stargate,138,1
UpgradeCompleteEvent,WarpGateResearch,146,1
UnitBornEvent,Adept,154,1
UnitBornEvent,VoidRay,185,1
UnitInitEvent,TwilightCouncil,203,1
UnitInitEvent,Gateway,210,1
UnitInitEvent,Gateway,226,1
UnitInitEvent,Gateway,226,1
UpgradeCompleteEvent,AdeptPiercingAttack,230,1
UnitInitEvent,Pylon,231,1
UnitInitEvent,Nexus,243,1
UnitInitEvent,Pylon,253,1
UnitBornEvent,Adept,261,1
UnitBornEvent,Adept,261,1
UnitInitEvent,Pylon,264,1
UnitBornEvent,Adept,286,1
UnitBornEvent,Adept,286,1
UnitBornEvent,Adept,286,1
UnitBornEvent,Adept,286,1
UnitInitEvent,Assimilator,292,1
UnitInitEvent,Assimilator,292,1
UnitBornEvent,Adept,306,1
UnitBornEvent,Adept,306,1
UnitInitEvent,RoboticsFacility,324,1
UnitInitEvent,Forge,326,1
UnitBornEvent,Sentry,336,1
UnitBornEvent,Sentry,336,1
UnitBornEvent,Sentry,336,1
UnitBornEvent,Sentry,336,1
ShieldBattery,UnitInitEvent,358,1
